단어,길이,초성
민간,2,ㅁㄱ
민속,2,ㅁㅅ
민족,2,ㅁㅈ
민주,2,ㅁㅈ
믿다,2,ㅁㄷ
믿음,2,ㅁㅇ
밀다,2,ㅁㄷ
밉다,2,ㅁㄷ
바깥,2,ㅂㄲ
바늘,2,ㅂㄴ
바다,2,ㅂㄷ
바닥,2,ㅂㄷ
바람,2,ㅂㄹ
바로,2,ㅂㄹ
바보,2,ㅂㅂ
바싹,2,ㅂㅆ
바위,2,ㅂㅇ
바지,2,ㅂㅈ
바퀴,2,ㅂㅋ
바탕,2,ㅂㅌ
박다,2,ㅂㄷ
박사,2,ㅂㅅ
박수,2,ㅂㅅ
박스,2,ㅂㅅ
반대,2,ㅂㄷ
반말,2,ㅂㅁ
반면,2,ㅂㅁ
반발,2,ㅂㅂ
반성,2,ㅂㅅ
반응,2,ㅂㅇ
반장,2,ㅂㅈ
반죽,2,ㅂㅈ
반지,2,ㅂㅈ
반찬,2,ㅂㅊ
받다,2,ㅂㄷ
받침,2,ㅂㅊ
발견,2,ㅂㄱ
발길,2,ㅂㄱ
발끝,2,ㅂㄲ
발달,2,ㅂㄷ
발등,2,ㅂㄷ
발레,2,ㅂㄹ
발목,2,ㅂㅁ
발생,2,ㅂㅅ
발음,2,ㅂㅇ
발전,2,ㅂㅈ
발톱,2,ㅂㅌ
발표,2,ㅂㅍ
밝다,2,ㅂㄷ
밟다,2,ㅂㄷ
밤낮,2,ㅂㄴ
밤새,2,ㅂㅅ
밤색,2,ㅂㅅ
밤중,2,ㅂㅈ
밥맛,2,ㅂㅁ
밥상,2,ㅂㅅ
밥솥,2,ㅂㅅ
방금,2,ㅂㄱ
방면,2,ㅂㅁ
방문,2,ㅂㅁ
방법,2,ㅂㅂ
방송,2,ㅂㅅ
방식,2,ㅂㅅ
방안,2,ㅂㅇ
방울,2,ㅂㅇ
방지,2,ㅂㅈ
방학,2,ㅂㅎ
방해,2,ㅂㅎ
방향,2,ㅂㅎ
배경,2,ㅂㄱ
배구,2,ㅂㄱ
배꼽,2,ㅂㄲ
배다,2,ㅂㄷ
배달,2,ㅂㄷ
배우,2,ㅂㅇ
배추,2,ㅂㅊ
배치,2,ㅂㅊ
백색,2,ㅂㅅ
백성,2,ㅂㅅ
백인,2,ㅂㅇ
백제,2,ㅂㅈ
뱉다,2,ㅂㄷ
버릇,2,ㅂㄹ
버섯,2,ㅂㅅ
버스,2,ㅂㅅ
버터,2,ㅂㅌ
버튼,2,ㅂㅌ
번개,2,ㅂㄱ
번역,2,ㅂㅇ
번지,2,ㅂㅈ
번째,2,ㅂㅉ
번호,2,ㅂㅎ
벌금,2,ㅂㄱ
벌다,2,ㅂㄷ
벌떡,2,ㅂㄸ
벌레,2,ㅂㄹ
벌써,2,ㅂㅆ
범위,2,ㅂㅇ
범인,2,ㅂㅇ
범죄,2,ㅂㅈ
법률,2,ㅂㄹ
법원,2,ㅂㅇ
법적,2,ㅂㅈ
법칙,2,ㅂㅊ
벗다,2,ㅂㄷ
베개,2,ㅂㄱ
베다,2,ㅂㄷ
벤치,2,ㅂㅊ
벨트,2,ㅂㅌ
변경,2,ㅂㄱ
변동,2,ㅂㄷ
변명,2,ㅂㅁ
변신,2,ㅂㅅ
변화,2,ㅂㅎ
별도,2,ㅂㄷ
별로,2,ㅂㄹ
별명,2,ㅂㅁ
별일,2,ㅂㅇ
병실,2,ㅂㅅ
병원,2,ㅂㅇ
보고,2,ㅂㄱ
보관,2,ㅂㄱ
보다,2,ㅂㄷ
보도,2,ㅂㄷ
보람,2,ㅂㄹ
보름,2,ㅂㄹ
보리,2,ㅂㄹ
보상,2,ㅂㅅ
보수,2,ㅂㅅ
보안,2,ㅂㅇ
보장,2,ㅂㅈ
보전,2,ㅂㅈ
보조,2,ㅂㅈ
보존,2,ㅂㅈ
보통,2,ㅂㅌ
보험,2,ㅂㅎ
보호,2,ㅂㅎ
복도,2,ㅂㄷ
복사,2,ㅂㅅ
복습,2,ㅂㅅ
볶다,2,ㅂㄷ
볶음,2,ㅂㅇ
본래,2,ㅂㄹ
본부,2,ㅂㅂ
본사,2,ㅂㅅ
본성,2,ㅂㅅ
본인,2,ㅂㅇ
본질,2,ㅂㅈ
볼링,2,ㅂㄹ
볼일,2,ㅂㅇ
볼펜,2,ㅂㅍ
봉사,2,ㅂㅅ
봉지,2,ㅂㅈ
봉투,2,ㅂㅌ
뵈다,2,ㅂㄷ
뵙다,2,ㅂㄷ
부근,2,ㅂㄱ
부담,2,ㅂㄷ
부대,2,ㅂㄷ
부모,2,ㅂㅁ
부문,2,ㅂㅁ
부부,2,ㅂㅂ
부분,2,ㅂㅂ
부산,2,ㅂㅅ
부상,2,ㅂㅅ
부서,2,ㅂㅅ
부엌,2,ㅂㅇ
부위,2,ㅂㅇ
부인,2,ㅂㅇ
부자,2,ㅂㅈ
부장,2,ㅂㅈ
부재,2,ㅂㅈ
부정,2,ㅂㅈ
부족,2,ㅂㅈ
부채,2,ㅂㅊ
부처,2,ㅂㅊ
부친,2,ㅂㅊ
부탁,2,ㅂㅌ
부품,2,ㅂㅍ
부피,2,ㅂㅍ
북부,2,ㅂㅂ
북쪽,2,ㅂㅉ
북한,2,ㅂㅎ
분노,2,ㅂㄴ
분량,2,ㅂㄹ
분리,2,ㅂㄹ
분명,2,ㅂㅁ
분석,2,ㅂㅅ
분야,2,ㅂㅇ
분필,2,ㅂㅍ
불과,2,ㅂㄱ
불교,2,ㅂㄱ
불꽃,2,ㅂㄲ
불다,2,ㅂㄷ
불만,2,ㅂㅁ
불법,2,ㅂㅂ
불빛,2,ㅂㅂ
불안,2,ㅂㅇ
불편,2,ㅂㅍ
불평,2,ㅂㅍ
불행,2,ㅂㅎ
붉다,2,ㅂㄷ
붓다,2,ㅂㄷ
붙다,2,ㅂㄷ
비교,2,ㅂㄱ
비극,2,ㅂㄱ
비난,2,ㅂㄴ
비누,2,ㅂㄴ
비닐,2,ㅂㄴ
비다,2,ㅂㄷ
비만,2,ㅂㅁ
비명,2,ㅂㅁ
비밀,2,ㅂㅁ
비상,2,ㅂㅅ
비서,2,ㅂㅅ
비용,2,ㅂㅇ
비율,2,ㅂㅇ
비중,2,ㅂㅈ
비판,2,ㅂㅍ
비행,2,ㅂㅎ
빌다,2,ㅂㄷ
빌딩,2,ㅂㄷ
빗물,2,ㅂㅁ
빛깔,2,ㅂㄲ
빨다,2,ㅃㄷ
빨래,2,ㅃㄹ
빨리,2,ㅃㄹ
빼다,2,ㅃㄷ
뺏다,2,ㅃㄷ
뻗다,2,ㅃㄷ
뽑다,2,ㅃㄷ
뿌리,2,ㅃㄹ
사건,2,ㅅㄱ
사고,2,ㅅㄱ
사과,2,ㅅㄱ
사기,2,ㅅㄱ
사냥,2,ㅅㄴ
사다,2,ㅅㄷ
사람,2,ㅅㄹ
사랑,2,ㅅㄹ
사례,2,ㅅㄹ
사립,2,ㅅㄹ
사망,2,ㅅㅁ
사무,2,ㅅㅁ
사물,2,ㅅㅁ
사방,2,ㅅㅂ
사상,2,ㅅㅅ
사설,2,ㅅㅅ
사슴,2,ㅅㅅ
사실,2,ㅅㅅ
사십,2,ㅅㅅ
사업,2,ㅅㅇ
사용,2,ㅅㅇ
사원,2,ㅅㅇ
사월,2,ㅅㅇ
사위,2,ㅅㅇ
사이,2,ㅅㅇ
사자,2,ㅅㅈ
사장,2,ㅅㅈ
사전,2,ㅅㅈ
사정,2,ㅅㅈ
사진,2,ㅅㅈ
사촌,2,ㅅㅊ
사탕,2,ㅅㅌ
사표,2,ㅅㅍ
사회,2,ㅅㅎ
사흘,2,ㅅㅎ
산길,2,ㅅㄱ
산소,2,ㅅㅅ
산속,2,ㅅㅅ
산업,2,ㅅㅇ
산책,2,ㅅㅊ
살다,2,ㅅㄷ
살림,2,ㅅㄹ
살인,2,ㅅㅇ
살짝,2,ㅅㅉ
삶다,2,ㅅㄷ
삼국,2,ㅅㄱ
삼다,2,ㅅㄷ
삼십,2,ㅅㅅ
삼월,2,ㅅㅇ
삼촌,2,ㅅㅊ
상관,2,ㅅㄱ
상금,2,ㅅㄱ
상담,2,ㅅㄷ
상당,2,ㅅㄷ
상대,2,ㅅㄷ
상류,2,ㅅㄹ
상상,2,ㅅㅅ
상식,2,ㅅㅅ
상업,2,ㅅㅇ
상인,2,ㅅㅇ
상자,2,ㅅㅈ
상점,2,ㅅㅈ
상처,2,ㅅㅊ
상추,2,ㅅㅊ
상태,2,ㅅㅌ
상표,2,ㅅㅍ
상품,2,ㅅㅍ
상황,2,ㅅㅎ
새끼,2,ㅅㄲ
새다,2,ㅅㄷ
새로,2,ㅅㄹ
새벽,2,ㅅㅂ
새우,2,ㅅㅇ
새해,2,ㅅㅎ
색깔,2,ㅅㄲ
생각,2,ㅅㄱ
생기,2,ㅅㄱ
생명,2,ㅅㅁ
생물,2,ㅅㅁ
생산,2,ㅅㅅ
생선,2,ㅅㅅ
생신,2,ㅅㅅ
생일,2,ㅅㅇ
생활,2,ㅅㅎ
샤워,2,ㅅㅇ
서구,2,ㅅㄱ
서너,2,ㅅㄴ
서다,2,ㅅㄷ
서랍,2,ㅅㄹ
서로,2,ㅅㄹ
서류,2,ㅅㄹ
서른,2,ㅅㄹ
서명,2,ㅅㅁ
서민,2,ㅅㅁ
서부,2,ㅅㅂ
서양,2,ㅅㅇ
서울,2,ㅅㅇ
서적,2,ㅅㅈ
서점,2,ㅅㅈ
서쪽,2,ㅅㅉ
서클,2,ㅅㅋ
석사,2,ㅅㅅ
석유,2,ㅅㅇ
섞다,2,ㅅㄷ
선거,2,ㅅㄱ
선물,2,ㅅㅁ
선배,2,ㅅㅂ
선생,2,ㅅㅅ
선수,2,ㅅㅅ
선원,2,ㅅㅇ
선장,2,ㅅㅈ
선전,2,ㅅㅈ
선진,2,ㅅㅈ
선택,2,ㅅㅌ
설날,2,ㅅㄴ
설명,2,ㅅㅁ
설문,2,ㅅㅁ
설사,2,ㅅㅅ
설치,2,ㅅㅊ
설탕,2,ㅅㅌ
섭씨,2,ㅅㅆ
성격,2,ㅅㄱ
성경,2,ㅅㄱ
성공,2,ㅅㄱ
성당,2,ㅅㄷ
성명,2,ㅅㅁ
성별,2,ㅅㅂ
성인,2,ㅅㅇ
성장,2,ㅅㅈ
성적,2,ㅅㅈ
성질,2,ㅅㅈ
성함,2,ㅅㅎ
세계,2,ㅅㄱ
세금,2,ㅅㄱ
세기,2,ㅅㄱ
세다,2,ㅅㄷ
세대,2,ㅅㄷ
세로,2,ㅅㄹ
세상,2,ㅅㅅ
세수,2,ㅅㅅ
세월,2,ㅅㅇ
세제,2,ㅅㅈ
세탁,2,ㅅㅌ
세트,2,ㅅㅌ
센터,2,ㅅㅌ
셋째,2,ㅅㅉ
소개,2,ㅅㄱ
소금,2,ㅅㄱ
소녀,2,ㅅㄴ
소년,2,ㅅㄴ
소득,2,ㅅㄷ
소리,2,ㅅㄹ
소망,2,ㅅㅁ
소매,2,ㅅㅁ
소문,2,ㅅㅁ
소비,2,ㅅㅂ
소설,2,ㅅㅅ
소속,2,ㅅㅅ
소수,2,ㅅㅅ
소스,2,ㅅㅅ
소식,2,ㅅㅅ
소용,2,ㅅㅇ
소원,2,ㅅㅇ
소위,2,ㅅㅇ
소유,2,ㅅㅇ
소음,2,ㅅㅇ
소재,2,ㅅㅈ
소주,2,ㅅㅈ
소질,2,ㅅㅈ
소파,2,ㅅㅍ
소포,2,ㅅㅍ
소풍,2,ㅅㅍ
소형,2,ㅅㅎ
소화,2,ㅅㅎ
속담,2,ㅅㄷ
속도,2,ㅅㄷ
속옷,2,ㅅㅇ
손길,2,ㅅㄱ
손녀,2,ㅅㄴ
손님,2,ㅅㄴ
손등,2,ㅅㄷ
손목,2,ㅅㅁ
손발,2,ㅅㅂ
손뼉,2,ㅅㅃ
손수,2,ㅅㅅ
손실,2,ㅅㅅ
손자,2,ㅅㅈ
손질,2,ㅅㅈ
손톱,2,ㅅㅌ
손해,2,ㅅㅎ
솜씨,2,ㅅㅆ
솟다,2,ㅅㄷ
송이,2,ㅅㅇ
송편,2,ㅅㅍ
쇼핑,2,ㅅㅍ
수건,2,ㅅㄱ
수고,2,ㅅㄱ
수년,2,ㅅㄴ
수단,2,ㅅㄷ
수도,2,ㅅㄷ
수만,2,ㅅㅁ
수면,2,ㅅㅁ
수명,2,ㅅㅁ
수박,2,ㅅㅂ
수백,2,ㅅㅂ
수상,2,ㅅㅅ
수석,2,ㅅㅅ
수술,2,ㅅㅅ
수십,2,ㅅㅅ
수업,2,ㅅㅇ
수염,2,ㅅㅇ
수영,2,ㅅㅇ
수요,2,ㅅㅇ
수입,2,ㅅㅇ
수저,2,ㅅㅈ
수준,2,ㅅㅈ
수집,2,ㅅㅈ
수천,2,ㅅㅊ
수출,2,ㅅㅊ
수컷,2,ㅅㅋ
수표,2,ㅅㅍ
수필,2,ㅅㅍ
수학,2,ㅅㅎ
숙녀,2,ㅅㄴ
숙소,2,ㅅㅅ
숙제,2,ㅅㅈ
순간,2,ㅅㄱ
순서,2,ㅅㅅ
순수,2,ㅅㅅ
순위,2,ㅅㅇ
술병,2,ㅅㅂ
술잔,2,ㅅㅈ
술집,2,ㅅㅈ
숨다,2,ㅅㄷ
숫자,2,ㅅㅈ
쉬다,2,ㅅㄷ
쉽다,2,ㅅㄷ
스님,2,ㅅㄴ
스무,2,ㅅㅁ
스물,2,ㅅㅁ
스승,2,ㅅㅅ
스키,2,ㅅㅋ
스타,2,ㅅㅌ
슬쩍,2,ㅅㅉ
슬픔,2,ㅅㅍ
습관,2,ㅅㄱ
습기,2,ㅅㄱ
승객,2,ㅅㄱ
승리,2,ㅅㄹ
승부,2,ㅅㅂ
승진,2,ㅅㅈ
시각,2,ㅅㄱ
시간,2,ㅅㄱ
시계,2,ㅅㄱ
시골,2,ㅅㄱ
시기,2,ㅅㄱ
시내,2,ㅅㄴ
시대,2,ㅅㄷ
시댁,2,ㅅㄷ
시도,2,ㅅㄷ
시디,2,ㅅㄷ
시민,2,ㅅㅁ
시선,2,ㅅㅅ
시설,2,ㅅㅅ
시야,2,ㅅㅇ
시외,2,ㅅㅇ
시월,2,ㅅㅇ
시위,2,ㅅㅇ
시인,2,ㅅㅇ
시일,2,ㅅㅇ
시작,2,ㅅㅈ
시장,2,ㅅㅈ
시절,2,ㅅㅈ
시점,2,ㅅㅈ
시중,2,ㅅㅈ
시즌,2,ㅅㅈ
시집,2,ㅅㅈ
시청,2,ㅅㅊ
시합,2,ㅅㅎ
시험,2,ㅅㅎ
식구,2,ㅅㄱ
식기,2,ㅅㄱ
식다,2,ㅅㄷ
식당,2,ㅅㄷ
식량,2,ㅅㄹ
식물,2,ㅅㅁ
식빵,2,ㅅㅃ
식사,2,ㅅㅅ
식욕,2,ㅅㅇ
식초,2,ㅅㅊ
식탁,2,ㅅㅌ
식품,2,ㅅㅍ
신경,2,ㅅㄱ
신고,2,ㅅㄱ
신규,2,ㅅㄱ
신념,2,ㅅㄴ
신다,2,ㅅㄷ
신라,2,ㅅㄹ
신랑,2,ㅅㄹ
신문,2,ㅅㅁ
신발,2,ㅅㅂ
신부,2,ㅅㅂ
신분,2,ㅅㅂ
신비,2,ㅅㅂ
신사,2,ㅅㅅ
신설,2,ㅅㅅ
신세,2,ㅅㅅ
신용,2,ㅅㅇ
신인,2,ㅅㅇ
신청,2,ㅅㅊ
신체,2,ㅅㅊ
신호,2,ㅅㅎ
신화,2,ㅅㅎ
싣다,2,ㅅㄷ
실감,2,ㅅㄱ
실내,2,ㅅㄴ
실력,2,ㅅㄹ
실례,2,ㅅㄹ
실로,2,ㅅㄹ
실망,2,ㅅㅁ
실수,2,ㅅㅅ
실습,2,ㅅㅅ
실시,2,ㅅㅅ
실은,2,ㅅㅇ
실장,2,ㅅㅈ
실정,2,ㅅㅈ
실제,2,ㅅㅈ
실천,2,ㅅㅊ
실체,2,ㅅㅊ
실컷,2,ㅅㅋ
실태,2,ㅅㅌ
실패,2,ㅅㅍ
실험,2,ㅅㅎ
실현,2,ㅅㅎ
싫다,2,ㅅㄷ
심다,2,ㅅㄷ
심리,2,ㅅㄹ
심사,2,ㅅㅅ
심장,2,ㅅㅈ
심정,2,ㅅㅈ
심판,2,ㅅㅍ
싶다,2,ㅅㄷ
싸다,2,ㅆㄷ
싸움,2,ㅆㅇ
싼값,2,ㅆㄱ
쌓다,2,ㅆㄷ
썩다,2,ㅆㄷ
썰다,2,ㅆㄷ
쏘다,2,ㅆㄷ
쏟다,2,ㅆㄷ
쓰다,2,ㅆㄷ
쓴맛,2,ㅆㅁ
쓸다,2,ㅆㄷ
씨름,2,ㅆㄹ
씨앗,2,ㅆㅇ
씹다,2,ㅆㄷ
씻다,2,ㅆㄷ
아기,2,ㅇㄱ
아까,2,ㅇㄲ
아내,2,ㅇㄴ
아냐,2,ㅇㄴ
아뇨,2,ㅇㄴ
아니,2,ㅇㄴ
아들,2,ㅇㄷ
아래,2,ㅇㄹ
아마,2,ㅇㅁ
아무,2,ㅇㅁ
아빠,2,ㅇㅃ
아아,2,ㅇㅇ
아예,2,ㅇㅇ
아유,2,ㅇㅇ
아이,2,ㅇㅇ
아주,2,ㅇㅈ
아직,2,ㅇㅈ
아침,2,ㅇㅊ
아픔,2,ㅇㅍ
아하,2,ㅇㅎ
아홉,2,ㅇㅎ
아흔,2,ㅇㅎ
악기,2,ㅇㄱ
악몽,2,ㅇㅁ
악수,2,ㅇㅅ
안개,2,ㅇㄱ
안경,2,ㅇㄱ
안과,2,ㅇㄱ
안내,2,ㅇㄴ
안녕,2,ㅇㄴ
안다,2,ㅇㄷ
안동,2,ㅇㄷ
안방,2,ㅇㅂ
안부,2,ㅇㅂ
안전,2,ㅇㅈ
안정,2,ㅇㅈ
안주,2,ㅇㅈ
안쪽,2,ㅇㅉ
안팎,2,ㅇㅍ
앉다,2,ㅇㄷ
않다,2,ㅇㄷ
알다,2,ㅇㄷ
앓다,2,ㅇㄷ
암시,2,ㅇㅅ
암컷,2,ㅇㅋ
압력,2,ㅇㄹ
앞길,2,ㅇㄱ
앞날,2,ㅇㄴ
앞뒤,2,ㅇㄷ
앞문,2,ㅇㅁ
앞서,2,ㅇㅅ
앞쪽,2,ㅇㅉ
애인,2,ㅇㅇ
애정,2,ㅇㅈ
애초,2,ㅇㅊ
액수,2,ㅇㅅ
앨범,2,ㅇㅂ
야간,2,ㅇㄱ
야구,2,ㅇㄱ
야단,2,ㅇㄷ
야옹,2,ㅇㅇ
야외,2,ㅇㅇ
야채,2,ㅇㅊ
약간,2,ㅇㄱ
약국,2,ㅇㄱ
약속,2,ㅇㅅ
약수,2,ㅇㅅ
약점,2,ㅇㅈ
약품,2,ㅇㅍ
얇다,2,ㅇㄷ
양국,2,ㅇㄱ
양념,2,ㅇㄴ
양력,2,ㅇㄹ
양말,2,ㅇㅁ
양보,2,ㅇㅂ
양복,2,ㅇㅂ
양식,2,ㅇㅅ
양심,2,ㅇㅅ
양옆,2,ㅇㅇ
양주,2,ㅇㅈ
양쪽,2,ㅇㅉ
양파,2,ㅇㅍ
얕다,2,ㅇㄷ
얘기,2,ㅇㄱ
어깨,2,ㅇㄲ
어느,2,ㅇㄴ
어둠,2,ㅇㄷ
어디,2,ㅇㄷ
어때,2,ㅇㄸ
어떤,2,ㅇㄸ
어른,2,ㅇㄹ
어머,2,ㅇㅁ
어서,2,ㅇㅅ
어제,2,ㅇㅈ
어쩜,2,ㅇㅉ
어찌,2,ㅇㅉ
언니,2,ㅇㄴ
언덕,2,ㅇㄷ
언론,2,ㅇㄹ
언어,2,ㅇㅇ
언제,2,ㅇㅈ
얹다,2,ㅇㄷ
얻다,2,ㅇㄷ
얼굴,2,ㅇㄱ
얼다,2,ㅇㄷ
얼른,2,ㅇㄹ
얼마,2,ㅇㅁ
얼음,2,ㅇㅇ
얼핏,2,ㅇㅍ
엄마,2,ㅇㅁ
업다,2,ㅇㄷ
업무,2,ㅇㅁ
업종,2,ㅇㅈ
업체,2,ㅇㅊ
없다,2,ㅇㄷ
없이,2,ㅇㅇ
엉망,2,ㅇㅁ
엔진,2,ㅇㅈ
여가,2,ㅇㄱ
여간,2,ㅇㄱ
여건,2,ㅇㄱ
여관,2,ㅇㄱ
여군,2,ㅇㄱ
여권,2,ㅇㄱ
여기,2,ㅇㄱ
여덟,2,ㅇㄷ
여든,2,ㅇㄷ
여러,2,ㅇㄹ
여럿,2,ㅇㄹ
여론,2,ㅇㄹ
여름,2,ㅇㄹ
여보,2,ㅇㅂ
여섯,2,ㅇㅅ
여성,2,ㅇㅅ
여왕,2,ㅇㅇ
여우,2,ㅇㅇ
여유,2,ㅇㅇ
여인,2,ㅇㅇ
여자,2,ㅇㅈ
여행,2,ㅇㅎ
역사,2,ㅇㅅ
역시,2,ㅇㅅ
역할,2,ㅇㅎ
연간,2,ㅇㄱ
연결,2,ㅇㄱ
연관,2,ㅇㄱ
연구,2,ㅇㄱ
연극,2,ㅇㄱ
연기,2,ㅇㄱ
연락,2,ㅇㄹ
연령,2,ㅇㄹ
연말,2,ㅇㅁ
연설,2,ㅇㅅ
연세,2,ㅇㅅ
연속,2,ㅇㅅ
연습,2,ㅇㅅ
연애,2,ㅇㅇ
연인,2,ㅇㅇ
연장,2,ㅇㅈ
연주,2,ㅇㅈ
연출,2,ㅇㅊ
연필,2,ㅇㅍ
연합,2,ㅇㅎ
연휴,2,ㅇㅎ
열기,2,ㅇㄱ
열다,2,ㅇㄷ
열매,2,ㅇㅁ
열쇠,2,ㅇㅅ
열정,2,ㅇㅈ
열차,2,ㅇㅊ
열흘,2,ㅇㅎ
엷다,2,ㅇㄷ
염려,2,ㅇㄹ
엽서,2,ㅇㅅ
영국,2,ㅇㄱ
영남,2,ㅇㄴ
영상,2,ㅇㅅ
영양,2,ㅇㅇ
영어,2,ㅇㅇ
영업,2,ㅇㅇ
영역,2,ㅇㅇ
영웅,2,ㅇㅇ
영하,2,ㅇㅎ
영향,2,ㅇㅎ
영혼,2,ㅇㅎ
영화,2,ㅇㅎ
옆방,2,ㅇㅂ
옆집,2,ㅇㅈ
예감,2,ㅇㄱ
예금,2,ㅇㄱ
예방,2,ㅇㅂ
예보,2,ㅇㅂ
예비,2,ㅇㅂ
예산,2,ㅇㅅ
예상,2,ㅇㅅ
예선,2,ㅇㅅ
예순,2,ㅇㅅ
예술,2,ㅇㅅ
예습,2,ㅇㅅ
예약,2,ㅇㅇ
예외,2,ㅇㅇ
예의,2,ㅇㅇ
예전,2,ㅇㅈ
예절,2,ㅇㅈ
예정,2,ㅇㅈ
옛날,2,ㅇㄴ
오늘,2,ㅇㄴ
오다,2,ㅇㄷ
오락,2,ㅇㄹ
오래,2,ㅇㄹ
오랜,2,ㅇㄹ
오리,2,ㅇㄹ
오븐,2,ㅇㅂ
오빠,2,ㅇㅃ
오십,2,ㅇㅅ
오염,2,ㅇㅇ
오월,2,ㅇㅇ
오이,2,ㅇㅇ
오전,2,ㅇㅈ
오직,2,ㅇㅈ
오해,2,ㅇㅎ
오후,2,ㅇㅎ
옥상,2,ㅇㅅ
온갖,2,ㅇㄱ
온도,2,ㅇㄷ
온돌,2,ㅇㄷ
온몸,2,ㅇㅁ
온통,2,ㅇㅌ
올해,2,ㅇㅎ
옳다,2,ㅇㄷ
와인,2,ㅇㅇ
완성,2,ㅇㅅ
완전,2,ㅇㅈ
왕비,2,ㅇㅂ
왕자,2,ㅇㅈ
왠지,2,ㅇㅈ
외과,2,ㅇㄱ
외교,2,ㅇㄱ
외국,2,ㅇㄱ
외다,2,ㅇㄷ
외모,2,ㅇㅁ
외부,2,ㅇㅂ
외제,2,ㅇㅈ
외출,2,ㅇㅊ
외침,2,ㅇㅊ
왼발,2,ㅇㅂ
왼손,2,ㅇㅅ
왼쪽,2,ㅇㅉ
요구,2,ㅇㄱ
요금,2,ㅇㄱ
요리,2,ㅇㄹ
요새,2,ㅇㅅ
요일,2,ㅇㅇ
요즘,2,ㅇㅈ
요청,2,ㅇㅊ
욕실,2,ㅇㅅ
욕심,2,ㅇㅅ
용기,2,ㅇㄱ
용도,2,ㅇㄷ
용돈,2,ㅇㄷ
용서,2,ㅇㅅ
용어,2,ㅇㅇ
우려,2,ㅇㄹ
우리,2,ㅇㄹ
우산,2,ㅇㅅ
우선,2,ㅇㅅ
우승,2,ㅇㅅ
우유,2,ㅇㅇ
우정,2,ㅇㅈ
우주,2,ㅇㅈ
우편,2,ㅇㅍ
우표,2,ㅇㅍ
운동,2,ㅇㄷ
운명,2,ㅇㅁ
운반,2,ㅇㅂ
운전,2,ㅇㅈ
운행,2,ㅇㅎ
울다,2,ㅇㄷ
울산,2,ㅇㅅ
울음,2,ㅇㅇ
웃다,2,ㅇㄷ
웃음,2,ㅇㅇ
워낙,2,ㅇㄴ
원고,2,ㅇㄱ
원래,2,ㅇㄹ
원서,2,ㅇㅅ
원인,2,ㅇㅇ
원장,2,ㅇㅈ
월급,2,ㅇㄱ
월세,2,ㅇㅅ
웬일,2,ㅇㅇ
위기,2,ㅇㄱ
위로,2,ㅇㄹ
위반,2,ㅇㅂ
위법,2,ㅇㅂ
위성,2,ㅇㅅ
위원,2,ㅇㅇ
위주,2,ㅇㅈ
위쪽,2,ㅇㅉ
위층,2,ㅇㅊ
위치,2,ㅇㅊ
위험,2,ㅇㅎ
위협,2,ㅇㅎ
윗몸,2,ㅇㅁ
유교,2,ㅇㄱ
유럽,2,ㅇㄹ
유리,2,ㅇㄹ
유머,2,ㅇㅁ
유명,2,ㅇㅁ
유물,2,ㅇㅁ
유산,2,ㅇㅅ
유월,2,ㅇㅇ
유적,2,ㅇㅈ
유학,2,ㅇㅎ
유행,2,ㅇㅎ
유형,2,ㅇㅎ
육군,2,ㅇㄱ
육상,2,ㅇㅅ
육십,2,ㅇㅅ
육체,2,ㅇㅊ
으레,2,ㅇㄹ
으응,2,ㅇㅇ
은행,2,ㅇㅎ
음력,2,ㅇㄹ
음료,2,ㅇㄹ
음반,2,ㅇㅂ
음성,2,ㅇㅅ
음식,2,ㅇㅅ
음악,2,ㅇㅇ
음주,2,ㅇㅈ
의견,2,ㅇㄱ
의논,2,ㅇㄴ
의도,2,ㅇㄷ
의류,2,ㅇㄹ
의무,2,ㅇㅁ
의문,2,ㅇㅁ
의미,2,ㅇㅁ
의복,2,ㅇㅂ
의사,2,ㅇㅅ
의식,2,ㅇㅅ
의심,2,ㅇㅅ
의욕,2,ㅇㅇ
의원,2,ㅇㅇ
의자,2,ㅇㅈ
의지,2,ㅇㅈ
의학,2,ㅇㅎ
이거,2,ㅇㄱ
이것,2,ㅇㄱ
이곳,2,ㅇㄱ
이날,2,ㅇㄴ
이내,2,ㅇㄴ
이념,2,ㅇㄴ
이놈,2,ㅇㄴ
이달,2,ㅇㄷ
이동,2,ㅇㄷ
이때,2,ㅇㄸ
이래,2,ㅇㄹ
이런,2,ㅇㄹ
이름,2,ㅇㄹ
이리,2,ㅇㄹ
이마,2,ㅇㅁ
이모,2,ㅇㅁ
이미,2,ㅇㅁ
이민,2,ㅇㅁ
이번,2,ㅇㅂ
이별,2,ㅇㅂ
이분,2,ㅇㅂ
이불,2,ㅇㅂ
이빨,2,ㅇㅃ
이사,2,ㅇㅅ
이상,2,ㅇㅅ
이성,2,ㅇㅅ
이슬,2,ㅇㅅ
이십,2,ㅇㅅ
이어,2,ㅇㅇ
이외,2,ㅇㅇ
이용,2,ㅇㅇ
이웃,2,ㅇㅇ
이월,2,ㅇㅇ
이유,2,ㅇㅇ
이익,2,ㅇㅇ
이자,2,ㅇㅈ
이전,2,ㅇㅈ
이제,2,ㅇㅈ
이중,2,ㅇㅈ
이쪽,2,ㅇㅉ
이틀,2,ㅇㅌ
이하,2,ㅇㅎ
이해,2,ㅇㅎ
